CHEMBL481605,95.23,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CCO)CC4
CHEMBL481401,95.63,CN1CCN(CC1)c2cc3c(Nc4cccc(Cl)c4Cl)c(cnc3cc2F)C(=O)N
CHEMBL481220,98.29,CC(C)Oc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4
CHEMBL480221,89.7,COCCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(C)CC4
CHEMBL481223,96.79,COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)cc3Cl)c2cc1N4CCN(C)CC4
CHEMBL481400,74.25,CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4ccc(F)cc4F)c3c2
CHEMBL480456,94.19,CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4ccc(Cl)c(Cl)c4)c3c2
CHEMBL518770,99.01,CC(C)Oc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N4CCN(C)CC4
CHEMBL479840,98.17,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CC)CC4
CHEMBL481606,98.29,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CCOC)CC4
CHEMBL481612,83.68,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CC4)C(=O)CO
CHEMBL481807,95.43,CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(CC)CC4
CHEMBL481572,96.57,CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1N4CCN(C)CC4
CHEMBL480027,95.12,CC(C)Oc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1N4CCN(C)CC4
CHEMBL520278,92.95,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1N4CCN(C)CC4
CHEMBL521407,98.21,CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4ccc(Cl)cc4Cl)c3c2
CHEMBL481212,93.94,CCOc1cc2ncc(C(=O)N)c(Nc3cc(C)ccc3F)c2cc1N4CCN(C)CC4
CHEMBL480830,85.77,CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(CC4)C(C)C
CHEMBL481423,96.42,COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N4CCN(C)CC4
CHEMBL481205,84.9,COCCOc1cc2ncc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(C)CC4
CHEMBL480445,74.69,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4
CHEMBL480457,95.43,CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4cccc(Cl)c4Cl)c3c2
CHEMBL481905,99.19,CCOc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N4CCN(C)CC4
CHEMBL479848,92.64,CCOc1cc2ncc(C(=O)N)c(Nc3cc(F)ccc3F)c2cc1N4CCN(C)CC4
CHEMBL519442,60.77,COCCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1N4CCN(C)CC4
CHEMBL481206,83.68,COCCOc1cc2ncc(C(=O)N)c(Nc3cc(C)ccc3F)c2cc1N4CCN(C)CC4
CHEMBL521096,94.32,CCOc1cc2ncc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(C)CC4
CHEMBL481596,75.55,CN1CCN(CC1)c2cc3c(Nc4ccc(F)cc4F)c(cnc3cc2F)C(=O)N
CHEMBL480250,95.53,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(C)CC4
CHEMBL479441,54.59,COCCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4
CHEMBL480031,98.54,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CC4)C(C)C
