CHEMBL31088,8.97,CNCCc1ccc(O)c(O)c1
CHEMBL95804,7.52,CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)C)cc1
CHEMBL369274,8.75,CCCN(CCC)CCc1ccc(O)c(NC(=O)C)c1
CHEMBL897,3.36,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O
CHEMBL498,4.69,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
CHEMBL1899087,2.41,OC(=O)\C=C(\c1ccccc1)/C(F)(F)F
CHEMBL40268,7.8,NCCc1ccc(O)c(O)c1F
CHEMBL189475,3.1,C[C@@H](C(=O)NS(=O)(=O)C)c1ccc(OS(=O)(=O)C(F)(F)F)cc1
CHEMBL112,9.48,CC(=O)Nc1ccc(O)cc1
CHEMBL2146910,3.81,OC(=O)c1cc(O)cc(Cl)c1
CHEMBL309339,7.5,ONC(=O)c1ccccc1O
CHEMBL455,5.25,CC(=O)NS(=O)(=O)c1ccc(N)cc1
CHEMBL27246,4.17,OC(=O)\C=C\c1ccccc1
CHEMBL191413,4.7,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)NS(=O)(=O)C
CHEMBL782,5.2,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
CHEMBL2171041,6.6,CN(C)c1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2171034,3.0,Fc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2171035,2.5,Clc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2171033,3.3,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4)cc1Cl
CHEMBL2171036,3.6,COc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2171047,3.2,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl
CHEMBL2171037,6.1,CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2171038,3.4,Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL1778651,3.2,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2OC(C)(C)C(=O)O)C(F)(F)F
CHEMBL1778612,2.7,OC(=O)COc1ccc(cc1c2ccccc2)[N+](=O)[O-]
CHEMBL1778646,3.4,CCS(=O)(=O)c1ccc(c(Cl)c1)c2cc(Cl)ccc2OCC(=O)O
CHEMBL1778652,4.2,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2CCC(=O)O)C(F)(F)F
CHEMBL1778638,3.3,CCS(=O)(=O)c1ccc(c(Cl)c1)c2cc(ccc2OCC(=O)O)C(F)(F)F
CHEMBL1778644,3.0,CCS(=O)(=O)c1ccc(c(F)c1)c2cc(Cl)ccc2OCC(=O)O
CHEMBL1778650,3.4,CCC(Oc1ccc(cc1c2ccc(cc2C)S(=O)(=O)CC)C(F)(F)F)C(=O)O
CHEMBL1778639,3.2,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2OCC(=O)O)C(F)(F)F
CHEMBL1550468,2.0,COc1ccc2C(=O)C=C(Oc2c1)C(=O)O
CHEMBL83628,2.0,OC(=O)C1=CC(=O)c2ccccc2O1
CHEMBL171055,2.0,OC(=O)C1=CC(=O)c2ccc(O)cc2O1
CHEMBL315361,4.0,OC(=O)C1=COc2ccccc2C1=O
CHEMBL1458820,2.0,OC(=O)C1=CC(=O)c2cc(Cl)ccc2O1
CHEMBL2158829,3.7,OC(=O)COc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL2158824,4.55,OC(=O)c1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL2158822,3.2,OC(=O)c1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL2158826,4.4,OC(=O)Cc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL2158823,4.3,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL163912,8.9,NC1CCc2c(O)c(O)ccc2C1
CHEMBL273273,9.25,CCCN(CCC)C1CCc2c(O)cccc2C1
CHEMBL146419,8.85,CN(C)C1CCc2c(O)c(O)ccc2C1
CHEMBL26736,9.1,NC1CCc2cc(O)c(O)cc2C1
CHEMBL1916289,3.4,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(cc2)C(F)(F)F)c3ccc(F)cc3)C(C)(C)C
CHEMBL1916272,4.2,CCC(CC)NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3
CHEMBL1916284,3.8,C[C@H](NC(=O)c1c(NS(=O)(=O)c2ccc(C)cc2)n(nc1C(F)(F)F)c3ccccc3)C(C)(C)C
CHEMBL1916288,3.0,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(cc2)C#N)c3ccc(F)cc3)C(C)(C)C
CHEMBL2158832,3.5,OC(=O)c1cccc(CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)c1
CHEMBL2158833,3.5,OC(=O)c1ccc(CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)cc1
CHEMBL2158819,3.0,OC(=O)C(N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4
CHEMBL2158831,3.0,OC(=O)c1ccccc1CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL288959,9.05,Nc1nc(O)cc(n1)c2ccccc2
CHEMBL301856,7.45,Nc1nc(O)c(Cl)c(n1)c2ccccc2
CHEMBL563498,6.52,Nc1nc(O)c(C#N)c(n1)c2ccccc2
CHEMBL432733,9.61,Cc1c(O)nc(N)nc1c2ccccc2
CHEMBL1934267,4.5,CC(C)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c2ccc(C)cc2
CHEMBL1934270,5.5,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)C(C)(C)C)C(C)(C)C
CHEMBL1934271,4.6,CCC(CC)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c2ccc(C)cc2
CHEMBL1934266,4.7,CCC(CC)NC(=O)c1c(C)nn(C(C)C)c1NS(=O)(=O)c2ccc(C)cc2
CHEMBL184,9.26,Nc1nc(O)c2ncn(COCCO)c2n1
CHEMBL484,7.66,Nc1ncnc2c1ncn2CCOCP(=O)(O)O
CHEMBL1540,9.48,Nc1nc(O)c2ncn(CCC(CO)CO)c2n1
CHEMBL850,6.31,C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O
